ID;Ring;Species;Sex;Mass;Wing;Tarsus;Age;Age_standardised;Leukocyte_count;Lymphocytes_percent;Monocytes_percent;Heterophiles_percent;H_L_ratio;Basophiles_percent;Eosinophiles_percent;Leukocytozoon;Infection_intensity;AP;AST;gGT;CHE;GLDH;BA;LDH;CK;ALB;TP;Ca;P
790;3418790;Buteo buteo;Female;620;12,8;74,1;1,92E+01;4,23E-01;12800;29;2;33;1,137931034;0;35;5200;2;250;569;5;2,3;2;36,4;1755;1950;7,4;28;2,46;1,88
806;3418806;Buteo buteo;Female;810;16,8;81,1;2,30E+01;5,05E-01;17600;12;2;45;3,75;0;42;13600;3;391;225;6;1,74;2;9,05;556;1837;13,8;36;2,62;2,08
810;3418810;Buteo buteo;Female;990;22,9;89,5;2,96E+01;6,50E-01;15200;21;2;33;1,571428571;0;43;5200;2;565;228;9;1,8;19,5;21,65;650;2280;8,8;32;2,57;1,98
811;3418811;Buteo buteo;Male;730;19,7;81;2,59E+01;5,69E-01;15600;28;2;26;0,928571429;0;45;2200;2;595;208;5;2;2;24,8;890;3805;9,7;32;NA;NA
820;3418820;Buteo buteo;Male;750;23,7;83,9;3,06E+01;6,72E-01;9200;25;2;34;1,36;0;40;1200;2;580;301;13;2,1;2;15,7;825;2840;10,4;38;2,36;1,8
821;3418821;Buteo buteo;Male;735;23,2;85,9;3,00E+01;6,58E-01;10000;22;2;25;1,136363636;0;53;4800;2;520;331;9;1,75;2;22,5;1375;3210;8,5;37;NA;NA
822;3418822;Buteo buteo;Male;685;20,9;78,5;2,72E+01;5,98E-01;6800;25;2;30;1,2;0;45;3000;2;315;284;5;1,9;2;31,7;1420;3775;11;36;NA;NA
775;3418775;Buteo buteo;Male;635;17,4;80,9;2,36E+01;5,18E-01;8400;26;2;41;1,576923077;0;32;47200;4;480;515;6;2,1;2;17,1;2025;1900;10,1;37;NA;NA
788;3418788;Buteo buteo;Male;670;16;80,1;2,22E+01;4,88E-01;7600;12;2;56;4,666666667;0;32;30400;4;350;378;8;1,8;2;24,15;1065;1535;9,5;34;2,42;2,33
789;3418789;Buteo buteo;Female;750;16,9;84,7;2,31E+01;5,07E-01;20400;16;2;38;2,375;0;45;30800;4;290;433;6;1,65;2;31,9;1365;1535;10,2;37;2,46;2,17
831;3418831;Buteo buteo;Male;555;14,8;79;2,11E+01;4,64E-01;10800;24;2;30;1,25;0;43;15800;3;275;294;5;1,95;2;45,8;755;2605;8;30;2,39;2,26
824;3418824;Buteo buteo;Male;690;17,6;83,8;2,37E+01;5,22E-01;24000;19;2;32;1,684210526;0;46;200;1;285;597;8;1,45;2;25,85;2380;3500;8,4;33;NA;NA
832;3418832;Buteo buteo;Male;780;22,1;85,4;2,86E+01;6,29E-01;13200;16;2;28;1,75;0;52;1200;2;500;257;10;2,15;2;36,25;750;2205;7,6;32;NA;NA
57;3419057;Buteo buteo;Male;720;20,6;85,3;2,69E+01;5,91E-01;20000;25;2;22;0,88;0;50;0;0;350;150;7;1,65;2;19,3;475;2520;8,2;31;2,51;2,55
72;3419072;Buteo buteo;Female;890;29,3;90,2;3,83E+01;8,41E-01;16000;18;2;38;2,111111111;0;40;0;0;345;203;10;2,15;2;12,2;440;1525;10,5;48;NA;NA
63;3419063;Buteo buteo;Male;810;24,3;84,9;3,14E+01;6,89E-01;43200;21;2;38;1,80952381;0;35;0;0;405;317;5;1,7;2;31,2;910;3295;10,2;38;2,52;2,13
748;3418748;Buteo buteo;Female;630;12,8;75,6;1,92E+01;4,23E-01;18800;20;2;37;1,85;0;41;0;0;285;323;5;2,05;2;14,75;1975;2310;8,9;30;NA;NA
750;3418750;Buteo buteo;Male;560;11,9;69,7;1,84E+01;4,03E-01;10400;48;2;45;0,9375;0;3;0;0;240;169;6;2,3;2;20,35;625;2320;7,2;26;NA;NA
754;3418754;Buteo buteo;Female;470;8,6;61,3;1,47E+01;3,23E-01;20400;26;2;25;0,961538462;0;43;0;0;65;163;5;2,15;2;23,1;415;795;6,1;26;NA;NA
761;3418761;Buteo buteo;Female;770;16,9;77,8;2,31E+01;5,07E-01;8200;71;2;17;0,23943662;0;9;0;0;475;178;5;1,5;2;32,5;545;1220;8,3;28;NA;NA
762;3418762;Buteo buteo;Male;605;14,4;71,2;2,07E+01;4,56E-01;13400;30;2;30;1;0;36;0;0;395;153;5;1,7;2;18,65;700;1560;10,2;32;NA;NA
765;3418765;Buteo buteo;Male;880;21,5;84,8;2,79E+01;6,13E-01;28000;38;2;26;0,684210526;0;32;0;0;445;157;8;1,7;2;21,85;615;2590;9,4;33;2,46;1,86
766;3418766;Buteo buteo;Male;800;23,2;85,1;3,00E+01;6,58E-01;16400;34;2;18;0,529411765;0;44;0;0;390;171;9;1,55;2;22,05;590;1840;9,6;32;NA;NA
768;3418768;Buteo buteo;Male;780;20;82,9;2,62E+01;5,76E-01;6400;45;2;21;0,466666667;0;32;0;0;350;139;5;1,5;2;4,55;560;1545;10,2;33;NA;NA
781;3418781;Buteo buteo;Male;590;13,7;74,9;2,01E+01;4,41E-01;16000;22;2;39;1,772727273;0;35;0;0;375;156;9;2,25;2;27,55;645;1945;8,9;31;NA;NA
782;3418782;Buteo buteo;Female;900;20,7;85,9;2,70E+01;5,93E-01;9200;46;2;50;1,086956522;0;3;0;0;485;165;7;1,8;2;16,9;505;1510;8,3;31;2,41;1,93
798;3418798;Buteo buteo;Female;845;20,2;85,1;2,64E+01;5,81E-01;9200;36;2;36;1;0;27;0;0;1165;242;5;1,9;2;59,2;585;2325;9,5;30;NA;NA
800;3418800;Buteo buteo;Male;475;15,8;76,6;2,20E+01;4,84E-01;8000;17;2;47;2,764705882;0;34;0;0;575;298;5;1,45;2;50,65;1090;5785;3,8;19;NA;NA
801;3418801;Buteo buteo;Female;950;20,7;87,1;2,70E+01;5,93E-01;8000;19;2;39;2,052631579;0;39;0;0;480;205;5;1,55;2;23,95;900;3565;9,8;31;2,57;2,46
802;3418802;Buteo buteo;Female;825;19,5;84,1;2,57E+01;5,64E-01;8400;23;2;34;1,47826087;0;41;0;0;530;184;9;1,7;2;28,7;745;2735;8,5;30;NA;NA
803;3418803;Buteo buteo;Female;815;17,9;81,7;2,40E+01;5,28E-01;12000;32;2;32;1;1;33;0;0;568;282;5;1,64;2;23,75;1125;3143;14;36;2,44;2,32
818;3418818;Buteo buteo;Male;840;20,8;87,5;2,71E+01;5,96E-01;13600;18;2;34;1,888888889;0;41;0;0;390;186;7;1,38;2;25,35;520;1537;11,5;35;2,65;NA
819;3418819;Buteo buteo;Male;790;23,1;87,4;2,98E+01;6,56E-01;12000;32;2;33;1,03125;0;31;0;0;305;182;6;1,29;2;19,1;469;1519;13,5;36;2,56;1,77
826;3418826;Buteo buteo;Male;705;19,5;81,4;2,57E+01;5,64E-01;13400;23;2;27;1,173913043;0;44;0;0;280;206;7;1,4;2;33,25;645;2335;10;35;NA;NA
915;3418915;Buteo buteo;Male;715;18,8;85,1;2,50E+01;5,48E-01;17200;20;2;27;1,35;0;46;0;0;338;208;9;1,18;2;44,2;762;2187;12,6;33;2,62;2,13
918;3418918;Buteo buteo;Male;660;24;83,4;3,10E+01;6,81E-01;16800;26;2;48;1,846153846;1;24;0;0;410;171;9;1,45;2;24;285;1830;9;40;2,52;1,83
927;3418927;Buteo buteo;Female;870;27,1;86,5;3,52E+01;7,73E-01;22000;39;2;25;0,641025641;0;33;0;0;405;187;8;1,8;2;19,4;665;3370;9,3;34;NA;NA
928;3418928;Buteo buteo;Male;750;28,7;88,1;3,74E+01;8,23E-01;13200;31;2;26;0,838709677;0;40;0;0;455;206;11;1,75;2;19,1;615;2835;8;30;2,37;NA
74;3419074;Buteo buteo;Female;860;20,3;84,2;2,65E+01;5,83E-01;13600;33;2;37;1,121212121;0;26;0;0;600;233;9;1,55;2;6,65;620;1805;9,2;32;NA;NA
